,0
0,0.162075
1,0.177125
2,0.1799
3,0.18225
4,0.1837
5,0.185225
6,0.187075
7,0.188575
8,0.190275
9,0.192075
10,0.194975
11,0.20245
12,0.210975
13,0.2216
14,0.244125
15,0.268925
16,0.28275
17,0.293525
18,0.30195
19,0.309125
20,0.314025
21,0.3175
22,0.320425
23,0.32385
24,0.328625
25,0.33225
26,0.336925
27,0.340625
28,0.345525
29,0.34915
30,0.35305
31,0.358425
32,0.362575
33,0.367375
34,0.371875
35,0.37695
36,0.380475
37,0.38445
38,0.388575
39,0.393
40,0.396925
41,0.402175
42,0.406075
43,0.4107
44,0.41435
45,0.4185
46,0.4222
47,0.426375
48,0.42925
49,0.433025
50,0.4372
51,0.441475
52,0.44615
53,0.45
54,0.454525
55,0.457975
56,0.461725
57,0.464825
58,0.468675
59,0.472175
60,0.47635
61,0.47945
62,0.483025
63,0.487075
64,0.49115
65,0.496025
66,0.500025
67,0.503375
68,0.5074
69,0.51115
70,0.5154
71,0.519575
72,0.5239
73,0.527975
74,0.532525
75,0.536525
76,0.54165
77,0.5464
78,0.551725
79,0.556375
80,0.56075
81,0.5651
82,0.5697
83,0.575
84,0.579775
