,0
0,0.1619
1,0.1793
2,0.1821
3,0.1825
4,0.1838
5,0.1863
6,0.1856
7,0.1864
8,0.1861
9,0.1889
10,0.1924
11,0.2
12,0.2095
13,0.223
14,0.2444
15,0.263
16,0.2771
17,0.2851
18,0.2922
19,0.2984
20,0.3021
21,0.3042
22,0.3077
23,0.3107
24,0.3166
25,0.3174
26,0.3208
27,0.3279
28,0.3318
29,0.3343
30,0.3387
31,0.3425
32,0.3465
33,0.3478
34,0.351
35,0.3536
36,0.3564
37,0.3608
38,0.3642
39,0.3693
40,0.3735
41,0.3758
42,0.3804
43,0.3835
44,0.3867
45,0.3906
46,0.394
47,0.3961
48,0.3995
49,0.4032
50,0.406
51,0.4107
52,0.4134
53,0.4157
54,0.4171
55,0.4177
56,0.4191
57,0.4211
58,0.4239
59,0.4259
60,0.4288
61,0.43
62,0.4323
63,0.4343
64,0.4374
65,0.4377
66,0.4393
67,0.4409
68,0.4422
69,0.4443
70,0.4448
71,0.4469
72,0.447
73,0.4481
74,0.4502
75,0.4515
76,0.4516
77,0.4536
78,0.4536
79,0.4549
80,0.4564
81,0.4563
82,0.4571
83,0.4577
84,0.458
